10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:34, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:35, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/default/site, HTTP/1.1, 303, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/default/index, HTTP/1.1, 200, 0.032000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
10.10.120.139, 2017-03-26 14:11:36, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000000
